Date,TowerID,Place,Region,Description of change,Source,Route
2021-11-28,19905,"Edvin Ralph, S Michael",Herefordshire,"1: weight, nominal. turning, frame number added.",C J Pickford & A Crocker visit 21 Nov 2021,
2021-11-28,20257,"Fulwood, Christ Church",South Yorkshire,2-8: nominal added; 1-8: hanging type added.,John Taylor records,A R Aspland
2021-11-28,20268,"Garforth, S Mary V",West Yorkshire,"1-4: turning, hanging type, frame number added.",A R Aspland visit,
2021-11-28,20375,"Grange Park, S Peter",Greater London,"1: canons, turning, hanging type added.",L Bent,
2021-11-28,20477,"Grewelthorpe, S James",North Yorkshire,1: nominal added.,John Taylor records,A R Aspland
2021-11-28,20548,"Halifax, S Hilda",West Yorkshire,"1: nominal, hanging type added.",John Taylor records,A R Aspland
2021-11-28,17273,"Heaton, S Barnabas",West Yorkshire,1-8: nominal added.,John Taylor records,A R Aspland
2021-11-28,20812,"Hensall, S Paul",North Yorkshire,"1: nominal, hanging type added. Has a wheel - may be hung for full circle",John Taylor records,A R Aspland
2021-11-28,21047,"Hotham, S Oswald",East Riding of Yorkshire,"1: nominal, hanging type added.",John Taylor records,A R Aspland
2021-11-28,21093,"Huggate, S Mary",East Riding of Yorkshire,"1-2: nominal (key changed), hanging type added.",John Taylor records,A R Aspland
2021-11-28,21291,"Killinghall, S Thomas Ap",North Yorkshire,"Clock bell: weight, nominal, added; both: hanging type, frame number added.",John Taylor records and personal visit,A R Aspland
2021-11-28,17495,"Kirkstall, S Stephen",West Yorkshire,"1: nominal added; 1-8: canons, turning, frame number added and key amended",John Taylor records,A R Aspland
2021-11-28,22173,"Moor Town, S Stephen",West Yorkshire,"1: nominal, hanging type added.",John Taylor records and personal visit,A R Aspland
2021-11-28,22189,"Morley, S Peter",West Yorkshire,1: nominal added.,John Taylor records,A R Aspland
2021-11-28,24925,"Newbridge, S Jude",West Midlands,"1: weight, nominal, canons, turning, frame number added.","C J Pickford visit, Taylor and Whitechapel records",
2021-11-28,22358,"Newport, S Stephen",East Riding of Yorkshire,4-8: nominal added; 1-8: hanging type added. ARA believes the weights of the three trebles are proposed weights rather than actual weights as they are all to nearest 7 pounds.,John Taylor records,A R Aspland
2021-11-28,22629,"Owston, All Saints",South Yorkshire,6: nominal added.,John Taylor records,A R Aspland
2021-11-28,17214,"Rawdon, S Peter",West Yorkshire,"1-4: nominal, hanging type added.",John Taylor records,A R Aspland
2021-11-28,23017,"Ripley, All Saints",North Yorkshire,"1-3: hanging type, frame number added.",A R Aspland visit,
2021-11-28,23273,"Sewerby, S John",East Riding of Yorkshire,"1-6: nominal, hanging type added.",John Taylor records,A R Aspland
2021-11-28,23335,"Shipley, S Peter",West Yorkshire,"1: nominal, hanging type added.",John Taylor records,A R Aspland
2021-11-28,23382,"Siddal, S Mark",West Yorkshire,"1-5: nominal, turning, frame number added.",John Taylor records and personal visit,A R Aspland
2021-11-28,23424,"Slaithwaite, S James",West Yorkshire,"5: founder amended; 5: canons, turning added; 1-5: frame number added.",John Taylor records and personal visit,A R Aspland
2021-11-28,23640,"St Lawrence, Old Church",Isle of Wight,1: canons amended.,K Leaver,
2021-11-28,23955,"Swinton, S Margaret",South Yorkshire,"Service: nominal added; diameter, cast year, founder, canons amended.",John Taylor records,A R Aspland
2021-11-28,24136,"Tinsley, S Lawrence",South Yorkshire,"1-3: nominal, hanging type added, chimed electronically",John Taylor records,A R Aspland
2021-11-28,14177,"Tuebrook, S John Bapt",Merseyside,"Extra1, Extra2: weight, nominal, diameter, canons added",Nigel Taylor's personal tuning records,D Sloman
2021-11-28,24399,"Waltham Cross, Christ Church",Hertfordshire,"1: canons, hanging type added.",L Bent,
2021-11-28,24927,"Whitmore Reans, S Andrew",West Midlands,"1: weight, note, hanging type added; 1: diameter amended.",John Taylor records,C J Pickford
2021-11-28,24923,"Wolverhampton, S John",West Midlands,1: turning added. Note added.,"C J Pickford revisit, 2 Nov 2021",
2021-11-28,24949,"Woodhouse, Christ Church",West Yorkshire,1: nominal added (key changed),John Taylor records,A R Aspland
2021-11-28,24972,"Woodside, S James",West Yorkshire,1: nominal added.,John Taylor records,A R Aspland
2021-11-28,24974,"Woodthorpe, S Catherine",South Yorkshire,"1: nominal, hanging type added.",John Taylor records,A R Aspland
2021-11-28,24980,"Wooler, S Mary",Northumberland,"1: cast year amended; 1: canons, hanging type, frame number added.","County notes for Northumberland, C J Pickford",C Teasdale
2021-11-28,25023,"Wortley, S John Ev",West Yorkshire,"1: nominal, hanging type added.",John Taylor records,A R Aspland
2021-11-27,17876,"Allens Cross, S Bartholomew",West Midlands,"Bell removed from church in 2005 on transfer to Bartley Green, but it was stolen before it was hung",C J Pickford,
2021-11-27,18064,"Bacup, S John Ev",Lancashire,1: approx weight amended.,D J Kelly visit,
2021-11-27,18501,"Borley, dedication unknown",Essex,"1-3: nominals, canons, turning, hanging type, frame number added.",Jason Burnet,
2021-11-27,18691,"Bristol, S Nicholas",City of Bristol,2: weight amended; 1-4: nominal added.,John Taylor records,C J Pickford and N W Bowden
2021-11-27,18692,"Bristol, S Paul",City of Bristol,"1: nominal added, weight and key amended","N W Bowden, visited Dec 2011",
2021-11-27,18869,"Bush Hill Park, S Mark",Greater London,"1: canons, turning, hanging type added. Hung For static chiming on outside wall of tower.",Lucas Bent,
2021-11-27,18938,"Cambridge, S Giles",Cambridgeshire,"1-2: canons, hanging type added.",Jason Burnet,
2021-11-27,18940,"Cambridge, S Paul",Cambridgeshire,1: nominal added.,Jason Burnet,
2021-11-27,17332,"Chingford, All Saints",Greater London,"1-3: hanging type, frame number added.","L Bent, visited 2019",
2021-11-27,15563,"Chipping Sodbury, S John Bapt",Gloucestershire,1-2: nominal added.,Nigel Taylor's personal tuning records,D Sloman
2021-11-27,19235,"Clifton, Christ Church",City of Bristol,"1: diameter, turning, frame number added; 1: cast year amended",N W Bowden and D L Cawley visited Jul 1986,
2021-11-27,13308,"Crawley, S John Bapt",West Sussex,1-8: canons added.,K Leaver,
2021-11-27,19808,"East Mersea, S Edmund",Essex,"1: weight, hanging type, frame number added.","Lucas Bent visit Sept 2021, church website",
2021-11-27,19874,"Edburton, S Andrew",West Sussex,"1-3: canons, turning, hanging type added.",K Leaver,
2021-11-27,19899,"Edmonton, S Alphege",Greater London,"1: canons, turning, hanging type added.",Lucas Bent,
2021-11-27,25119,"Englefield Green, S Jude",Surrey,New church: Englefield Green,Dickon Love,
2021-11-27,20123,"Fishponds, S Mary",City of Bristol,"1: weight, key amended; nominal, turning, hanging type added.",Weight and nominal from John Taylor records via C J Pickford. Visited N W Bowden & D L Cawley Sept 1987,
2021-11-27,20369,"Gossops Green, S Alban",West Sussex,"1-2: canons, hanging type added",K Leaver,
2021-11-27,13212,"Hastings, Christ Church, Blacklands",East Sussex,8: canons added.,K Leaver,
2021-11-27,15371,"Horton Kirby, S Mary",Kent,3: nominal added.,Nigel Taylor's personal tuning records,D Sloman
2021-11-27,21281,"Keyingham, S Nicholas",East Riding of Yorkshire,"1-3: canons, turning, hanging, frame number added.",A R Aspland visit,
2021-11-27,21340,"Kingswood, Ascension",Gloucestershire,"1: cast year, founder, canons, hanging type added.","N W Bowden, visited Apr 2020",
2021-11-27,21411,"Knowsley, S Mary",Merseyside,Smaller bell hung for swing chiming with lever,S M Austin,
2021-11-27,21487,"Lawrence Weston, S Peter",City of Bristol,"1: nominal, hanging type added.",Nominal from John Taylor records via C J Pickford. Visited N W Bowden & D L Cawley Sept 1987,
2021-11-27,21556,"Leigh Woods, S Mary Old Church",Somerset,Updated place name and lieutenancy area,Thanks to Phil Moyse,
2021-11-27,21824,"Loughton, S Mary V",Essex,"1: canons, turning, hanging type added.",Lucas Bent,
2021-11-27,11313,"Middleham, S Mary & S Alkelda",North Yorkshire,"1-8: canons, turning, frame number added.",Simon Burren,
2021-11-27,22193,"Morpeth, S James",Northumberland,"1: weight, canons, turning, hanging type added.",Information board in the church.,C Teasdale
2021-11-27,22209,"Mossley Hill, S Matthew & S James",Merseyside,1-5: hanging type added.,S M Austin,
2021-11-27,22487,"Norton Malreward, Holy Trinity",Somerset,Updated Lieutenancy Area,Thanks to Phil Moyse,
2021-11-27,22759,"Pill, Christ Church",Somerset,Updated Lieutenancy Area,Thanks to Phil Moyse,
2021-11-27,22846,"Potternewton, S Martin",West Yorkshire,1: turning added.,John Taylor records,A R Aspland
2021-11-27,23167,"Sancreed, S Sancredus",Cornwall,3: founder amended.,Amended based on Dunkin,C J Pickford
2021-11-27,23233,"Sea Mills, S Edyth",City of Bristol,"1: nominal, turning added, frame number added.",N W Bowden and D L Cawley visited May 1986,
2021-11-27,23575,"Southwater, Holy Innocents",West Sussex,"1: hanging type, nominal added.",K Leaver,
2021-11-27,23640,"St Lawrence, Old Church",Isle of Wight,"1: canons, turning added.",K Leaver,
2021-11-27,23649,"St Margaret at Cliffe, S Margaret of Antioch",Kent,"1-8: canons, turning added.",R C Offen,
2021-11-27,23829,"Stone Cross, S Luke",East Sussex,1. weight added,Gillett & Johnston records,D R Love
2021-11-27,23829,"Stone Cross, S Luke",East Sussex,"1. hanging type, nominal added.",K Leaver & L Greenslade,
2021-11-27,24041,"Thorley, S Swithin",Isle of Wight,"1-2: canons, hanging type added.",K Leaver,
2021-11-27,24402,"Walthamstow, S Peter-in-the-Forest",Greater London,"1: canons added; 1-2: turning, hanging type, frame number added.","L Bent, visited Aug 2020",
2021-11-27,24422,"Wanstead, S Mary",Greater London,"1-4: turning, hanging type added",Lucas Bent,
2021-11-27,24527,"Welwick, S Mary",East Riding of Yorkshire,"1: weight, nominal, canons, turning, hanging type, frame number added.",A R Aspland,
2021-11-27,24635,"Westbury Park, S Alban",City of Bristol,"1: founder, canons, hanging type added.","N W Bowden, visited Dec 2019",
2021-11-27,24732,"Whitchurch, S Nicholas",Somerset,Updated Lieutenancy Area,Thanks to Phil Moyse,
2021-11-27,24944,"Woodford Green, S Barnabas",Greater London,"1: canons, turning, hanging type, frame number added.","L Bent, visited Oct 2020",
2021-11-26,17788,"Darwin, Cath Ch of S Mary Star of the Sea (RC)","Northern Territory, Australia",Noted that Taylors part of this project complete and bells being shipped to Australia.,,
2021-11-26,15823,"Kirkby Overblow, All Saints",North Yorkshire,1: founder added,Andrew Aspland and George Dawson.,
2021-11-26,10828,"North Weald, S Andrew",Essex,Overhaul added,Nigel Taylor,
2021-11-26,22756,"Piddinghoe, S John",East Sussex,"GF, ropes, tuning added; 1-3: approx wt, nominal, note, diam added; 1-2: probable founder added","Tim Jackson (visit 25/8/21), David Kelly, Michael Royalton-Kisch",
2021-11-26,13439,"Ribbesford, S Leonard",Worcestershire,"3: founder, est cast date added",Chris Pickford (from personal visit); estimated date is by George Elphick,Chris Pickford
2021-11-26,13054,"Salford, Sacred Trinity",Greater Manchester,"1-8: canons, turning added","George Lee, DAC Bells Adviser, Manchester Diocese",
2021-11-26,10404,"Shore, S Barnabas",Greater Manchester,"1-8: canons, turning, frame number added","George Lee, DAC Bells Adviser, Manchester Diocese",
2021-11-26,14340,"Slapton, Holy Cross",Buckinghamshire,5: weight amended,Peter Hayward,
2021-11-26,16049,"South Hill, S Sampson",Cornwall,New project added,David Potter,
2021-11-26,16498,"St Cross South Elmham, S George (or S Cross)",Suffolk,5: approx weight amended,Taken from the Ranald Clouston papers,Neal Dodge
2021-11-26,16498,"St Cross South Elmham, S George (or S Cross)",Suffolk,1888 & 1915 overhauls added,"Bowell CD, Pickford",
2021-11-26,14732,"Stewkley, S Michael & All Angels",Buckinghamshire,5: founder amended,"David Sloman, including quoting Bucks B&B, Smith.",
2021-11-26,10478,"Swindon, Christ Church",Wiltshire,Simulator added,Deb Tiltman,Email
2021-11-26,17043,"Thundridge, S Mary",Hertfordshire,1: nominal added,Recording taken by Ashley Monck; analysed by Nick Bowden,
2021-11-26,10065,"Titchmarsh, S Mary V",Northamptonshire,Toilet added,Jane Hough,
2021-11-26,11912,"Twyford, S Mary",Hampshire,New project added,David Potter,
2021-11-26,11239,"Wattisfield, S Margaret",Suffolk,Overhaul added,Neal Dodge quoting contemporary newspaper cutting,
2021-11-25,13287,"Didbrook, S George",Gloucestershire,Restoration work underway,Simon Ridley,
2021-11-25,17241,"Great Hanwood, S Thomas",Shropshire,"Previously unlisted ring of three; weights approx; GF deleted; tuning added; 1-3;nominals, notes, turning added","Mark Pugh, Belfries Officer Hereford DG (inc taking and analysing recordings)",
2021-11-25,12363,"Hampstead Norreys, S Mary",Berkshire,Project completed,David Potter,
2021-11-25,10465,"Hartpury, S Mary V",Gloucestershire,1-6: turning added,Malcolm Taylor,
2021-11-25,13509,"Hitcham, All Saints",Suffolk,"2: canons, turning amended",Paul Taylor (from foundry records) and Neal Dodge (from site visit),
2021-11-25,11494,"Ilmington, S Mary",Warwickshire,PN amended,Ilmington ringers,Pat Bell
2021-11-25,14968,"Kilifi, S Thomas",Kenya,"1-6: turning, frame number added",Stuart Bamforth,
2021-11-25,16821,"Mickleton, S Lawrence",Gloucestershire,PN amended,Ilmington ringers,Pat Bell
2021-11-25,23120,"Rushmere, S Michael",Suffolk,Village name amended,Phil Moyse,Email
2021-11-24,17024,"Aslacton, S Michael",Norfolk,1889 overhaul added; 1-5: turning added,Neal Dodge quoting contemporary newspaper cutting,
2021-11-24,15505,"Astley, S Mary V",Warwickshire,New project added,David Potter,
2021-11-24,14597,"Bow Brickhill, All Saints",Buckinghamshire,3: founder amended,"David Sloman, including quoting Bucks B&B, Smith",
2021-11-24,16000,"Caxton, S Andrew",Cambridgeshire,Toilet added,Jane Hough,
2021-11-24,11621,"Chrishall, Holy Trinity",Essex,4: founder amended,Early 17th century unknown founder.  An indistinct number of ornaments,David Sloman
2021-11-24,14556,"Cratfield, S Mary",Suffolk,Clock: turning amended,"Neal Dodge, taken from the Ranald Clouston papers",
2021-11-24,15439,"East Anstey, S Michael",Devon,Restoration work underway,David Potter,
2021-11-24,10442,"East Clandon, S Thomas of Canterbury",Surrey,Bells unringable,"Jackie Roberts, Master Guildford DG",
2021-11-24,15470,"Elmdon, S Nicholas",Essex,1924 overhaul added,"Bowell CD, Pickford",
2021-11-24,13116,"Forncett St Peter, S Peter & S Paul",Norfolk,3-4: turning added,Pictures provided by Neal Dodge,
2021-11-24,14831,"Godmanstone, Holy Trinity",Dorset,"GF added; 1-2: welded added; 1-4: hanging amended; 1,3-4: nominals amended (recordings were taken in 2003, i.e. prior to the cracked bells being welded)",Andrew Nicholson,
2021-11-24,14831,"Godmanstone, Holy Trinity",Dorset,2007 overhaul added,,
2021-11-24,14714,"Haresfield, S Peter",Gloucestershire,PN deleted - no regular practice,Jack Hunt,Email
2021-11-24,24096,"Thundersley, S Peter",Essex,"GF, ropes added",Theo Johnson,Email
2021-11-24,11526,"Whitminster, S Andrew",Gloucestershire,PN deleted (no regular practice),Jack Hunt,Email
2021-11-23,17173,"Bath, S Luke, Bloomfield",Somerset,1-5: nominal added.,D J Kelly visit,
2021-11-23,18681,"Brinkburn, Priory",Northumberland,"Bell confirmed to be unringable - ""hits something""",C Teasdale,
2021-11-23,18937,"Cambridge, S Barnabas",Cambridgeshire,Cast year amended; founder amended; hanging type added.,Richard Smith,
2021-11-23,18940,"Cambridge, S Paul",Cambridgeshire,"1: hanging type, frame number added.",Jason Burnet,
2021-11-23,19157,"Chingford, S Peter & S Paul",Greater London,1-6: hanging type added.,"Lucas Bent, visit 2019",
2021-11-23,19271,"Cocking, S Catherine of Sienna",West Sussex,"1-3: weight, nominals (treble is flat for a major scale), canons, hanging type, frame number added. 2: cast year added. Baton clavier.","Luca Greenslade, visit 6 Nov 2021",
2021-11-23,19913,"Eglingham, S Maurice",Northumberland,"Clock: nominal, canons added, turning added.","County notes for Northumberland, C J Pickford",C Teasdale
2021-11-23,13836,"Great Ellingham, S James",Norfolk,1-6: nominals added and key amended; 2-5: diameter amended; 1: diameter added.,Nigel Taylor's personal tuning records,D Sloman
2021-11-23,21138,"Huyton Quarry, S Gabriel",Merseyside,1: hanging type added.,S M Austin,
2021-11-23,21627,"Little Abington, S Mary",Cambridgeshire,"1: nominal, canons, frame number added; hanging type amended (no longer full-circle).",Jason Burnet,
2021-11-23,21795,"Longhirst, S John Ev",Northumberland,"1-8: nominal, canons, turning, hanging type added. 3,5-8: diameter amended",John Taylor archives,C Teasdale
2021-11-23,22151,"Mitford, S Mary Magd",Northumberland,"1-8: nominal added. Tenor date amended to 1899, although the date 1875 is cast on the bell as a nod to its predecessor gifted in that year.",John Taylor records,C Teasdale
2021-11-23,22151,"Mitford, S Mary Magd",Northumberland,"Disused bell: Date estimate between 1137-60, founder unidentified. The bell hangs on its own framework in the main body of the church by the south door.",C Teasdale,
2021-11-23,22194,"Morpeth, S Mary V",Northumberland,Bells confirmed to be unringable - frame unsafe.,C Teasdale,
2021-11-23,13176,"Morpeth, The Clock Tower",Northumberland,8: diameter amended.,John Taylor records,C Teasdale
2021-11-23,23033,"Roby, S Bartholomew",Merseyside,1: hanging type added.,S M Austin,
2021-11-23,23055,"Roehampton, Holy Trinity",Greater London,1: nominal added.,D J Kelly,
2021-11-23,18207,"Sindlesham, S Catherine, Bearwood",Berkshire,"Place name adjusted from Bear Wood. Two separate single bell wooden frames, one supported by the other, bad cracks. Stays and sliders removed. Bells noted as only ringable swing chimed.",Simon Farrar following inspection,
2021-11-23,17287,"St Catherine, S Catherine",Somerset,1-6: nominal added.,D J Kelly,
2021-11-23,23722,"Stannington, S Mary V",Northumberland,"1-8: nominal, hanging type added 5-8: diameter amended; key signature amended",John Taylor records,C Teasdale
2021-11-23,24058,"Thornhill Lees, Holy Innocents",West Yorkshire,"1-2: weight, nominal added, diameter added.",Deborah Thorley visit. D J Kelly analysis of recordings.,D J Kelly
2021-11-23,24723,"Whiston, S Nicholas",Merseyside,1: nominal added; 1: cast year added. Bell unringable and 'clocked'.,S M Austin visit. Tonal analysis by B Hibbert.,
2021-11-23,24875,"Winterbourne, S James",Berkshire,"1, Sanctus: nominals added","Recorded J Reid, Analysed N Bowden",
2021-11-23,24875,"Winterbourne, S James",Berkshire,"1, Sanctus: weight, canons, turning, frame numbers added. 1: unringable.",Jacob Reid visits,
2021-11-22,10479,"Cranborne, S Mary & S Bartholomew",Dorset,Service: name changed to Ex 5 (of 8) and hanging to full circle although unringable,"Jack Pease, Branch Ringing Master",Email
2021-11-22,15379,"Nettlebed, S Bartholomew",Oxfordshire,1-6: turning added,"Ralph Elmes, local ringer",James Hedgcock
2021-11-22,15080,"Otford, S Bartholomew",Kent,"2: weight amended; 1-2,5: diameter amended",Nigel Taylor's personal tuning records,David Sloman
2021-11-22,15394,"Witley, All Saints",Surrey,"1-8: nominal added; 5,8: diameter amended; 1-4,6-7: diameter added",Nigel Taylor's personal tuning records,David Sloman
2021-11-20,15665,"Claverdon, S Michael & All Angels",Warwickshire,Ellacombe added,Mike Chester,Email
2021-11-20,14556,"Cratfield, S Mary",Suffolk,"1778, 1782, 1809 overhauls added; tuning added",Neal Dodge quoting contemporary newspaper cutting,
2021-11-20,13679,"Isleworth, All Saints",Greater London,1-2: nominal added; 1: diameter amended,Tim Jackson,
2021-11-20,14122,"Longhope, All Saints",Gloucestershire,Ringing currently not permitted owing to structural issues with the tower,Michael Williams,
2021-11-20,11747,"Minehead, S Michael",Somerset,New project added,Andrew Nicholson,
2021-11-20,11703,"Royston, S John Bapt",Hertfordshire,Taylors project completed - restoration work in the church is still under way,David Potter,
2021-11-20,14716,"Shipley, S Mary V",West Sussex,6: nominal amended,Recorded by Luca Greenslade and analysed by Nick Bowden,
2021-11-20,12101,"St Merryn, S Merryn",Cornwall,New project added (overhaul including rebuilding the wheels),Andrew Nicholson,
2021-11-20,11782,"Stoke Prior, S Michael",Worcestershire,Project completed,David Potter,
2021-11-20,11445,"Sully, S John Bapt","The Vale of Glamorgan, South Glamorgan, Wales",Project completed,Andrew Nicholson,
2021-11-20,15366,"Tadmarton, S Nicholas",Oxfordshire,1-5: nominal added,Nigel Taylor's personal tuning records,David Sloman
2021-11-19,16034,"Cowden, S Mary Magd",Kent,"1-3,6: nominal added; 1-3,6: diameter amended",Nigel Taylor's personal tuning records,David Sloman
2021-11-19,13308,"Crawley, S John Bapt",West Sussex,Toilet added; Seage’s silent bell apparatus added; 1-8: turning added,Kye Leaver,Email
2021-11-19,15379,"Nettlebed, S Bartholomew",Oxfordshire,1-6: nominal added; 1-6: diameter amended,Nigel Taylor's personal tuning records,David Sloman
2021-11-17,11854,"Ardingly, S Peter",West Sussex,PN amended,Ollie Watson,Dickon Love
2021-11-17,15821,"Chevening, S Botolph",Kent,"4,8: nominal amended; 3,5-7: nominal added; 4: diameter amended",Nigel Taylor's personal tuning records,David Sloman
2021-11-17,15808,"Coleman's Hatch, Holy Trinity",East Sussex,Project completed,Tom Blyth,
2021-11-17,12621,"Darsham, All Saints",Suffolk,URL amended,Neal Dodge,Email
2021-11-17,13287,"Didbrook, S George",Gloucestershire,Project updated,Tom Blyth,
2021-11-17,15470,"Elmdon, S Nicholas",Essex,PN deleted - there hasn't been a practice night for a good number of years and all ringing is by arrangement,Oliver Lee,Email
2021-11-17,12186,"Enfield, S Mary Magd",Greater London,URL amended,Mike Chester,Email
2021-11-17,12397,"Fordington, S George",Dorset,"7: nominal amended; 3-6,8: nominal added",Nigel Taylor's personal tuning records,David Sloman
2021-11-17,12747,"Hartfield, S Mary",East Sussex,Toilet added,Ian Oram,Email
2021-11-17,16213,"Hexham, Abbey Ch of S Andrew",Northumberland,3-10: nominal added,Nigel Taylor,Mike Chester
2021-11-17,13100,"North Nibley, S Martin",Gloucestershire,6: nominal amended; 1-5: nominal added,Nigel Taylor's personal tuning records,David Sloman
2021-11-17,14340,"Slapton, Holy Cross",Buckinghamshire,New project added,Tom Blyth,
2021-11-17,16881,"Stoulton, S Edmund K&M",Worcestershire,New project added,Tom Blyth,
2021-11-17,13661,"Swaffham Bulbeck, S Mary",Cambridgeshire,Simulator added. There is also a new dumbbell/training aid.,Lesley Boyle,Email
2021-11-17,16235,"West Hoathly, S Margaret",West Sussex,PN amended,Ollie Watson,Dickon Love
2021-11-16,14007,"Alnwick, S Michael",Northumberland,URL added,"Chris Mansfield, tower captain",
2021-11-16,11689,"Bowerchalke, Holy Trinity",Wiltshire,1-5: nominal added,Nigel Taylor's personal tuning records,David Sloman
2021-11-16,15426,"Corfe Castle, S Edward M",Dorset,1-6: turning added,consultation with the Tower Captain,James Hedgcock
2021-11-16,15670,"Fulbeck, S Nicholas",Lincolnshire,1-6: turning added,Christopher Woodcock,Email
2021-11-16,16213,"Hexham, Abbey Ch of S Andrew",Northumberland,1-2: nominal added; 1-2: diameter amended,Nigel Taylor's personal tuning records,David Sloman
2021-11-16,15371,"Horton Kirby, S Mary",Kent,4-7: nominal added,Nigel Taylor's personal tuning records,David Sloman
2021-11-16,15644,"Little Milton, S James",Oxfordshire,1-6: nominal added,Nigel Taylor's personal tuning records,David Sloman
2021-11-16,10413,"Llangollen, S Collen","Denbighshire, Clwyd, Wales",1-8: nominal added,Analysis using Wavanal,Nick Green
2021-11-16,11313,"Middleham, S Mary & S Alkelda",North Yorkshire,PN amended,Simon Burren,
2021-11-16,10583,"Newport, Cath Ch of S Woolos","Newport, Gwent, Wales",6b: nominal added,Personal tuning records,Nigel Taylor
2021-11-16,10583,"Newport, Cath Ch of S Woolos","Newport, Gwent, Wales",6-11: nominal added,JT records 1913,Chris Pickford
2021-11-16,12438,"Stone, S Michael & S Wulfad",Staffordshire,7-10: turning added,"David Simpson, Tower Captain",James Hedgcock
2021-11-16,13183,"West Ham, All Saints",Greater London,Ellacombe added,video posted on Facebook by Zoe Purdy-Wood,Mike Chester
2021-11-11,11310,"Stratton Strawless, S Margaret",Norfolk,Ellacombe apparatus flag deleted. Advised in error.,Ollie Watson,
2021-11-10,15627,"Bicton, Holy Trinity",Shropshire,1-2: notes corrected,Nick Green,Email
2021-11-10,15426,"Corfe Castle, S Edward M",Dorset,"1,6: nominal amended; 2-5: nominal added; 3-4: diameter amended; 1-2,5: diameter added",Nigel Taylor's personal tuning records,David Sloman
2021-11-10,12186,"Enfield, S Mary Magd",Greater London,1-7: nominal added,Nigel Taylor's personal tuning records,David Sloman
2021-11-10,13413,"Saintbury, S Nicholas",Gloucestershire,1-2: nominal added,Nigel Taylor's personal tuning records,David Sloman
2021-11-07,11650,"Glasbury on Wye, S Peter","Powys, Wales",1-8: nominal added,Nigel Taylor's personal tuning records,David Sloman
2021-11-06,13022,"Arkesden, S Mary V",Essex,"2: weight amended; 1-6: nominal added and key amended to G# major; 1-2,4-6: diameter amended",Nigel Taylor's personal tuning records,David Sloman
2021-11-06,16414,"Bratton, S James Gt",Wiltshire,New project added (bells and frame removed to the workshop for a heavy overhaul),Andrew Nicholson,
2021-11-06,16316,"Buxhall, S Mary",Suffolk,Project completed,David Potter,
2021-11-06,15972,"Chester, Cath Ch of Christ & BVM",Cheshire,Project completed,David Potter,
2021-11-06,15972,"Chester, Cath Ch of Christ & BVM",Cheshire,Added 1 bell,JTc (bell is in new extension of the existing frame. Others moved to make the space),Paul Mason
2021-11-06,14556,"Cratfield, S Mary",Suffolk,1906 overhaul added,"Neal Dodge, quoting Bell News report",
2021-11-06,15189,"Great Munden, S Nicholas",Hertfordshire,1-5: nominal added,Nigel Taylor's personal tuning records,David Sloman
2021-11-06,11782,"Stoke Prior, S Michael",Worcestershire,PN added; project amended,"Kim Macdonald, tower captain",
2021-11-04,14059,"Brimpsfield, S Michael",Gloucestershire,6: nominal amended; 1-5: nominal added,Nigel Taylor's personal tuning records,David Sloman
2021-11-04,15897,"Cadbury, S Michael & All Angels",Devon,"1,6: weight amended; 2-5: weight added; 6: weight approx amended; 1-6: nominal added",JTc as received,Paul Mason
2021-11-04,13803,"Cambridge, S Edward K&M",Cambridgeshire,PN amended,"Ali Finn, tower captain",Janet Garnett via email
2021-11-04,12580,"Charlton on Otmoor, S Mary V",Oxfordshire,1-6: nominal added,Nigel Taylor's personal tuning records,David Sloman
2021-11-04,13046,"Felmingham, S Andrew",Norfolk,PN added,"Jamie Watson, local ringer",
2021-11-04,16539,"Morden (Morden East), S Mary",Dorset,1-5: nominal added,Nigel Taylor's personal tuning records,David Sloman
2021-11-04,12483,"Philadelphia, S Peter","Pennsylvania, United States of America","1-8: nominals, cannons, turning, frame number added; 1-8: notes amended","Neal Dodge, quoting website: https://whyy.org/articles/after-years-of-silence-st-peters-church-bells-to-ring-in-easter/.  Recordings analysed by Nick Bowden",
2021-11-04,15276,"Purbrook, S John Bapt",Hampshire,1-5: nominal added,Nigel Taylor's personal tuning records,David Sloman
2021-11-04,14011,"Shipton under Wychwood, S Mary V",Oxfordshire,Ringing no longer suspended; PN added,"Mike Brooks, local contact.",
2021-11-04,12262,"Wickham Skeith, S Andrew",Suffolk,1-2: turning added; 3-6: turning amended,Neal Dodge (personal visit),
2021-11-04,12262,"Wickham Skeith, S Andrew",Suffolk,1780 & 1892 overhauls added,"Neal Dodge, quoting contemporary newspaper cutting",
2021-11-01,14007,"Alnwick, S Michael",Northumberland,The old tenor of 3 has been taken away by Whites for recycling; They intend reusing the bell elsewhere and so it has not been scrapped,Tim Jackson,
2021-11-01,10530,"Asgarby, S Andrew",Lincolnshire,"3rd of ring of 5 was cracked and subsequently ""lost"" in c1830",Dove records,
2021-11-01,10725,"Kirkham, S Michael",Lancashire,1-10: bell names added,Parish website,
2021-11-01,12916,"Shepton Beauchamp, S Michael",Somerset,3-12: nominal added,Nigel Taylor's personal tuning records,David Sloman
2021-11-01,15767,"Wigginton, S Giles",Oxfordshire,1-6: nominal added,Nigel Taylor's personal tuning records,David Sloman
2021-10-31,17510,"Bournville, Bournville Village Primary School",West Midlands,Front 25 bells recast in 2015,John Taylor archives,
